"id","sessionDate","sessionType","studentId","teacherId","halaqahId","startPage","endPage","totalPages","score","notes","recommendation","isApprovedForNextStep","createdAt","updatedAt"
"cmni861up000c2sskwphm4ap1","2026-04-03 00:00:00","ZIYADAH","cmnfdntzf000a2spzug6v3ly4","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","128","131","4","95","","CONTINUE",,"2026-04-03 01:28:34.273","2026-04-03 01:28:34.273"
"cmni86nl2000d2sskst9lvvph","2026-04-03 00:00:00","ZIYADAH","cmnfdu155000k2spzxh7znoyv","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","62","62","1","95","","CONTINUE",,"2026-04-03 01:29:02.438","2026-04-03 01:29:02.438"
"cmni8glg8000f2sskc9uz5xiw","2026-04-03 00:00:00","MURAJAAH_KUBRO","cmnfdzgpz000z2spzvbugn0zz","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","142","161","20","80","Al An'am 136, 138, 141, Al Araf 34, 43, ","CONTINUE",,"2026-04-03 01:36:46.232","2026-04-03 02:07:19.144"
"cmni99joj000g2ssk3zrsg6i3","2026-04-03 00:00:00","ZIYADAH","cmnfdwj0i000s2spzxarxkain","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","306","315","10","95","","CONTINUE",,"2026-04-03 01:59:16.963","2026-04-03 01:59:16.963"
"cmni9o11b000h2sskwmmr1kw8","2026-04-03 00:00:00","MURAJAAH_KUBRO","cmnfe0ql200122spz0b6x4067","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","121","141","21","80","Al An'am ","CONTINUE",,"2026-04-03 02:10:32.639","2026-04-03 02:13:32.663"
"cmni9sy2k000i2sskkd4az2pv","2026-04-03 00:00:00","ZIYADAH","cmnfe0ql200122spz0b6x4067","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","307","309","3","98","Bagus","CONTINUE",,"2026-04-03 02:14:22.076","2026-04-03 02:14:22.076"
"cmnjh1xbq00002ss1fongi8s7","2026-04-04 00:00:00","MURAJAAH_KUBRO","cmnfd7pmx00012spzc9vrqbmv","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","142","161","20","90","Ada kesalahan pada 7 tempat: 
1. Pada halaman 145 ذلك أن لم يكن ربك, 
2. Pada halaman 152 kelebihan huruf fa’ قال أنظرني, 
3. Pada halaman 154 lupa فمن أظلم ممن, 
4. Pada halaman 156 lupa أهؤلاء, 
5. Pada halaman 157 kurang 2 harakat فيشفعوالنا, 
6. Pada halaman 159 lupa ما نزل الله بها من سلطان فانتظروا, 
7. Pada halaman 161 kelebihan kata قدرنا pada إلا امرأته كانت من الغابرين.","CONTINUE",,"2026-04-03 22:25:04.502","2026-04-04 00:18:37.83"
"cmnji3rid00042ss1ne7f06e7","2026-04-04 00:00:00","ZIYADAH","cmnfdzgpz000z2spzvbugn0zz","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","309","311","3","92","Maryam 83-84, 98","CONTINUE",,"2026-04-03 22:54:29.893","2026-04-03 23:27:47.738"
"cmnjiniur00062ss1u5f6922b","2026-04-04 00:00:00","ZIYADAH","cmnfe121w00132spzy02jx7cu","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","309","312","4","88","Maryam 75, 88, 96","CONTINUE",,"2026-04-03 23:09:51.795","2026-04-03 23:09:51.795"
"cmnjipldp00072ss14kt70q82","2026-04-04 00:00:00","ZIYADAH","cmnfdzufq00102spz6j04kr5z","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","260","262","3","88","Al Hijr 21-22, 22,29","CONTINUE",,"2026-04-03 23:11:28.381","2026-04-03 23:20:47.678"
"cmnjiwsak00082ss120zltzab","2026-04-04 00:00:00","ZIYADAH","cmnfdrk29000e2spz9409ilmo","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","84","89","6","80","cukup","CONTINUE",,"2026-04-03 23:17:03.932","2026-04-03 23:17:03.932"
"cmnjiyc5100092ss1g87dptct","2026-04-03 00:00:00","MURAJAAH_KUBRO","cmnfdtsm8000j2spzqjrqifoe","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","502","521","20","90","","CONTINUE",,"2026-04-03 23:18:16.309","2026-04-03 23:18:16.309"
"cmnjiyw5r000a2ss10lxc22py","2026-04-04 00:00:00","MURAJAAH_KUBRO","cmnfdswkf000g2spzl3d2h6fn","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","42","61","20","80","","CONTINUE",,"2026-04-03 23:18:42.255","2026-04-03 23:18:42.255"
"cmnjj9q7h000c2ss10z9nle9t","2026-04-04 00:00:00","ZIYADAH","cmnfe0ql200122spz0b6x4067","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","308","312","5","92","Maryam 84, 96","CONTINUE",,"2026-04-03 23:27:07.757","2026-04-03 23:41:44.23"
"cmnjjug3c000f2ss1qj7q3onr","2026-04-04 00:00:00","ZIYADAH","cmnfdz2bz000y2spz5skmlcyp","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","284","287","4","82","Al Isro 30, 39","CONTINUE",,"2026-04-03 23:43:14.424","2026-04-03 23:53:43.088"
